Name,Symbol,RIC,Type,NAME,COMPANY NAME,ICB INDUSTRY NAME
DYNA-MAC HOLDINGS,T:DYNA,DMHL.SI,T:DYNA,DYNA-MAC HOLDINGS,DYNA-MAC HOLDINGS LTD,Energy
EAGLE HOSPITALITY TRUST UNITS,T:EHTU,EAGL.SI,T:EHTU,EAGLE HOSPITALITY TRUST UNITS,EAGLE HOSPITALITY TRUST,Real Estate
EC WORLD REAL ESTATE INVESTMENT TRUST,T:ECWO,ECWO.SI,T:ECWO,EC WORLD REAL ESTATE INVESTMENT TRUST,EC WORLD REAL ESTATE INVESTMENT TRUST,Real Estate
ELITE COMMERCIAL REIT,T:ECRT,ELIE.SI,T:ECRT,ELITE COMMERCIAL REIT,ELITE COMMERCIAL REIT,Real Estate
ELLIPSIZ,T:SITR,ELPZ.SI,T:SITR,ELLIPSIZ,ELLIPSIZ LIMITED,Technology
ENECO ENERGY,T:RICH,ENEC.SI,T:RICH,ENECO ENERGY SUSP - SUSP.09/03/20,ENECO ENERGY LTD,Industrials
ENGRO CORPORATION,T:SSGS,ENGR.SI,T:SSGS,ENGRO CORPORATION,ENGRO CORPORATION LIMITED,Industrials
ENVICTUS INTL.HDG.,T:ETIK,ETIK.SI,T:ETIK,ENVICTUS INTL.HDG.,ENVICTUS INTERNATIONAL HOLDINGS LTD,Consumer Staples
ENVIRO-HUB HOLDINGS,T:LEON,EHHL.SI,T:LEON,ENVIRO-HUB HOLDINGS,ENVIRO-HUB HOLDINGS LIMITED,Utilities
ESR-REIT,T:CAIT,ESRR.SI,T:CAIT,ESR-REIT,ESR-REIT,Real Estate
EXCELPOINT TECH.,T:EXCL,EXCE.SI,T:EXCL,EXCELPOINT TECH.,EXCELPOINT TECHNOLOGY LTD,Technology
EZION HOLDINGS,T:NYTE,EZHL.SI,T:NYTE,EZION HOLDINGS SUSP - SUSP.04/03/19,EZION HOLDINGS LIMITED,Energy
EZRA HOLDINGS,T:EZRA,EZRA.SI,T:EZRA,EZRA HOLDINGS SUSP - SUSP.16/03/17,EZRA HOLDINGS LTD,Energy
FABCHEM CHINA,T:FABC,FBCH.SI,T:FABC,FABCHEM CHINA,FABCHEM CHINA LTD,Basic Materials
FALCON ENERGY GROUP,T:SMH,FEGL.SI,T:SMH,FALCON ENERGY GROUP SUSP - SUSP.21/01/19,FALCON ENERGY GROUP LIMITED,Energy
FAR EAST HOSPITALITY TRUST REIT,T:FHTR,FAEH.SI,T:FHTR,FAR EAST HOSPITALITY TRUST REIT,FAR EAST HOSPITALITY TRUST,Real Estate
FAR EAST ORCHARD,T:OPHH,FARE.SI,T:OPHH,FAR EAST ORCHARD,FAR EAST ORCHARD LIMITED,Consumer Discretionary
FEDERAL INTL.(2000),T:FEDE,FEDL.SI,T:FEDE,FEDERAL INTL.(2000),FEDERAL INTERNATIONAL (2000) LIMITED,Industrials
FIRST REIT.TRUST,T:FIRE,FRET.SI,T:FIRE,FIRST REIT.TRUST,FIRST REAL ESTATE INVESTMENT TRUST,Real Estate
FIRST RESOURCES,T:FRLS,FRLD.SI,T:FRLS,FIRST RESOURCES,FIRST RESOURCES LIMITED,Consumer Staples
FIRST SHIP LEASE TRUST,T:FSLT,FSLT.SI,T:FSLT,FIRST SHIP LEASE TRUST,FIRST SHIP LEASE TRUST,Industrials
FIRST SPONSOR GROUP,T:FSCA,FSCA.SI,T:FSCA,FIRST SPONSOR GROUP,FIRST SPONSOR GROUP LTD,Real Estate
FOOD EMPIRE HDG.,T:FOEM,FEMP.SI,T:FOEM,FOOD EMPIRE HDG.,FOOD EMPIRE HOLDINGS LTD,Consumer Staples
FORISE INTERNATIONAL,T:GGPL,FOIL.SI,T:GGPL,FORISE INTERNATIONAL,FORISE INTERNATIONAL LTD,Consumer Discretionary
